Driver,Total_Laps,Avg_LapTime,Std_LapTime,Best_LapTime,Worst_LapTime,Final_Position
ALB,52,96.451,7.606,89.718,128.459,9.0
ALO,52,96.358,7.41,89.71,124.427,8.0
BOT,51,97.821,7.597,91.277,126.628,15.0
HAM,52,95.136,6.838,89.438,120.866,1.0
HUL,52,96.207,6.797,89.836,122.727,6.0
LEC,51,97.795,8.426,89.748,123.138,14.0
MAG,52,96.869,7.833,90.093,125.299,12.0
NOR,52,95.281,6.544,89.262,120.915,3.0
OCO,50,99.155,8.321,90.875,122.736,16.0
PER,50,99.301,9.375,89.707,125.507,17.0
PIA,52,95.375,7.335,88.748,121.184,4.0
RIC,51,97.196,7.215,90.735,123.328,13.0
RUS,33,96.111,7.152,91.298,124.342,4.0
SAI,52,96.046,7.163,88.293,121.664,5.0
SAR,52,96.847,7.444,89.972,125.981,11.0
STR,52,96.224,6.872,89.897,121.611,7.0
TSU,52,96.661,7.098,90.229,123.448,10.0
VER,52,95.164,6.703,88.952,119.169,2.0
ZHO,50,100.031,9.213,91.014,126.729,18.0
