Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:40:26.353000,HAM,44,0 days 00:01:45.183000,27.0,1.0,,0 days 01:40:20.422000,0 days 00:00:31.477000,0 days 00:00:45.498000,0 days 00:00:28.208000,0 days 01:39:12.675000,0 days 01:39:58.173000,0 days 01:40:26.381000,297.0,242.0,,302.0,False,MEDIUM,27.0,True,Mercedes,0 days 01:38:41.170000,2024-07-07 14:43:38.199,1,2.0,False,,False,False
0 days 01:59:18.437000,HAM,44,0 days 00:01:37.220000,38.0,2.0,,0 days 01:59:12.470000,0 days 00:00:31.208000,0 days 00:00:40.056000,0 days 00:00:25.956000,0 days 01:58:12.453000,0 days 01:58:52.509000,0 days 01:59:18.465000,298.0,246.0,,302.0,False,INTERMEDIATE,11.0,True,Mercedes,0 days 01:57:41.217000,2024-07-07 15:02:38.246,1,2.0,False,,False,False
0 days 01:38:50.516000,VER,1,0 days 00:01:41.491000,26.0,1.0,,0 days 01:38:44.599000,0 days 00:00:30.720000,0 days 00:00:43.858000,0 days 00:00:26.913000,0 days 01:37:39.800000,0 days 01:38:23.658000,0 days 01:38:50.571000,,247.0,,295.0,False,MEDIUM,26.0,True,Red Bull Racing,0 days 01:37:09.025000,2024-07-07 14:42:06.054,1,5.0,False,,False,False
0 days 01:59:23.927000,VER,1,0 days 00:01:35.963000,38.0,2.0,,0 days 01:59:18.092000,0 days 00:00:30.903000,0 days 00:00:39.254000,0 days 00:00:25.806000,0 days 01:58:18.922000,0 days 01:58:58.176000,0 days 01:59:23.982000,296.0,250.0,,298.0,False,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 01:57:47.964000,2024-07-07 15:02:44.993,1,3.0,False,,False,False
0 days 01:40:23.109000,NOR,4,0 days 00:01:44.806000,27.0,1.0,,0 days 01:40:17.147000,0 days 00:00:32.069000,0 days 00:00:45.057000,0 days 00:00:27.680000,0 days 01:39:10.433000,0 days 01:39:55.490000,0 days 01:40:23.170000,289.0,246.0,,302.0,False,MEDIUM,27.0,True,McLaren,0 days 01:38:38.303000,2024-07-07 14:43:35.332,1,1.0,False,,False,False
0 days 02:00:54.027000,NOR,4,0 days 00:01:36.746000,39.0,2.0,,0 days 02:00:48.120000,0 days 00:00:31.241000,0 days 00:00:39.866000,0 days 00:00:25.639000,0 days 01:59:48.583000,0 days 02:00:28.449000,0 days 02:00:54.088000,292.0,249.0,,304.0,False,INTERMEDIATE,12.0,True,McLaren,0 days 01:59:17.281000,2024-07-07 15:04:14.310,1,1.0,False,,False,False
0 days 01:42:21.631000,PIA,81,0 days 00:01:52.976000,28.0,1.0,,0 days 01:42:15.701000,0 days 00:00:36.245000,0 days 00:00:47.881000,0 days 00:00:28.850000,0 days 01:41:04.982000,0 days 01:41:52.863000,0 days 01:42:21.713000,282.0,231.0,,297.0,False,MEDIUM,28.0,True,McLaren,0 days 01:40:28.655000,2024-07-07 14:45:25.684,1,1.0,False,,False,False
0 days 01:59:38.454000,PIA,81,0 days 00:01:37.106000,38.0,2.0,,0 days 01:59:32.481000,0 days 00:00:31.419000,0 days 00:00:39.774000,0 days 00:00:25.913000,0 days 01:58:32.849000,0 days 01:59:12.623000,0 days 01:59:38.536000,296.0,247.0,,300.0,False,INTERMEDIATE,10.0,True,McLaren,0 days 01:58:01.348000,2024-07-07 15:02:58.377,1,4.0,False,,False,False
0 days 01:38:51.822000,SAI,55,0 days 00:01:42.481000,26.0,1.0,,0 days 01:38:45.781000,0 days 00:00:30.838000,0 days 00:00:44.415000,0 days 00:00:27.228000,0 days 01:37:40.219000,0 days 01:38:24.634000,0 days 01:38:51.862000,301.0,249.0,,304.0,False,MEDIUM,26.0,True,Ferrari,0 days 01:37:09.341000,2024-07-07 14:42:06.370,1,6.0,False,,False,False
0 days 02:01:15.553000,SAI,55,0 days 00:01:36.802000,39.0,2.0,,0 days 02:01:09.712000,0 days 00:00:31.069000,0 days 00:00:39.956000,0 days 00:00:25.777000,0 days 02:00:09.860000,0 days 02:00:49.816000,0 days 02:01:15.593000,293.0,250.0,,300.0,False,INTERMEDIATE,13.0,True,Ferrari,0 days 01:59:38.751000,2024-07-07 15:04:35.780,1,2.0,False,,False,False
0 days 02:18:09.282000,SAI,55,0 days 00:01:29.434000,50.0,3.0,,0 days 02:18:03.383000,0 days 00:00:28.907000,0 days 00:00:35.875000,0 days 00:00:24.652000,0 days 02:17:08.795000,0 days 02:17:44.670000,0 days 02:18:09.322000,294.0,265.0,,304.0,False,HARD,11.0,True,Ferrari,0 days 02:16:39.848000,2024-07-07 15:21:36.877,1,5.0,False,,False,False
0 days 01:39:08.720000,HUL,27,0 days 00:01:41.853000,26.0,1.0,,0 days 01:39:02.808000,0 days 00:00:30.434000,0 days 00:00:44.465000,0 days 00:00:26.954000,0 days 01:37:57.341000,0 days 01:38:41.806000,0 days 01:39:08.760000,291.0,245.0,,298.0,False,MEDIUM,26.0,True,Haas F1 Team,0 days 01:37:26.867000,2024-07-07 14:42:23.896,1,7.0,False,,False,False
0 days 02:01:37.994000,HUL,27,0 days 00:01:37.245000,39.0,2.0,,0 days 02:01:32.097000,0 days 00:00:31.423000,0 days 00:00:40.045000,0 days 00:00:25.777000,0 days 02:00:32.212000,0 days 02:01:12.257000,0 days 02:01:38.034000,292.0,248.0,,300.0,False,INTERMEDIATE,13.0,True,Haas F1 Team,0 days 02:00:00.749000,2024-07-07 15:04:57.778,1,6.0,False,,False,False
0 days 01:39:10.815000,STR,18,0 days 00:01:40.784000,26.0,1.0,,0 days 01:39:05.009000,0 days 00:00:30.533000,0 days 00:00:43.232000,0 days 00:00:27.019000,0 days 01:38:00.623000,0 days 01:38:43.855000,0 days 01:39:10.874000,298.0,250.0,,304.0,False,MEDIUM,26.0,True,Aston Martin,0 days 01:37:30.031000,2024-07-07 14:42:27.060,1,8.0,False,,False,False
0 days 02:01:42.693000,STR,18,0 days 00:01:37.759000,39.0,2.0,,0 days 02:01:36.764000,0 days 00:00:31.395000,0 days 00:00:40.343000,0 days 00:00:26.021000,0 days 02:00:36.388000,0 days 02:01:16.731000,0 days 02:01:42.752000,292.0,247.0,,300.0,False,INTERMEDIATE,13.0,True,Aston Martin,0 days 02:00:04.934000,2024-07-07 15:05:01.963,1,7.0,False,,False,False
0 days 01:41:00.920000,ALO,14,0 days 00:01:48.513000,27.0,1.0,,0 days 01:40:55.058000,0 days 00:00:32.455000,0 days 00:00:47.512000,0 days 00:00:28.546000,0 days 01:39:44.954000,0 days 01:40:32.466000,0 days 01:41:01.012000,286.0,238.0,,300.0,False,MEDIUM,27.0,True,Aston Martin,0 days 01:39:12.407000,2024-07-07 14:44:09.436,1,7.0,False,,False,False
