Driver,Stint,Compound,StintStartLap,StintEndLap,NumLaps,AvgTyreLife,FirstLapTime,LastLapTime,MeanLapTime,StdLapTime,FirstLapTimeSeconds,LastLapTimeSeconds,DegradationDelta
ALB,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:41.588000,0 days 00:01:47.754000,95.0794074074074,4.1902914370763495,101.588,107.754,6.166000000000011
ALB,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:08.459000,0 days 00:01:37.843000,105.21981818181817,8.028170387058086,128.459,97.843,-30.616
ALB,3.0,MEDIUM,39.0,52.0,14,7.5,0 days 00:01:57.678000,0 days 00:01:29.718000,92.206,7.339986638009219,117.678,89.718,-27.959999999999994
ALO,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:40.474000,0 days 00:01:48.513000,95.00651851851852,4.557747295880434,100.474,108.513,8.039000000000001
ALO,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:04.427000,0 days 00:01:38.684000,104.67218181818181,6.767934320280924,124.427,98.684,-25.74300000000001
ALO,3.0,MEDIUM,39.0,52.0,14,7.5,0 days 00:01:59.234000,0 days 00:01:31.430000,92.43328571428572,7.731213601902469,119.234,91.43,-27.803999999999988
BOT,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:44.290000,0 days 00:01:49.533000,95.98665384615386,4.154675919417142,104.29,109.533,5.242999999999995
BOT,2.0,INTERMEDIATE,27.0,37.0,11,6.0,0 days 00:02:05.367000,0 days 00:01:39.987000,105.78127272727274,6.703521747423653,125.367,99.987,-25.38000000000001
BOT,3.0,SOFT,38.0,51.0,14,7.5,0 days 00:02:06.628000,0 days 00:01:32.217000,94.97378571428571,9.228681080685964,126.628,92.217,-34.411
HAM,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:36.034000,0 days 00:01:45.183000,93.72625925925925,3.98784313780493,96.034,105.183,9.149000000000001
HAM,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:00.866000,0 days 00:01:37.220000,102.91672727272727,6.17168249492647,120.866,97.22,-23.646
HAM,3.0,SOFT,39.0,52.0,14,8.5,0 days 00:01:57.389000,0 days 00:01:30.146000,91.74042857142857,7.386480485051317,117.389,90.146,-27.242999999999995
HUL,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:40.166000,0 days 00:01:41.853000,94.34523076923077,3.416937860806862,100.166,101.853,1.6869999999999976
HUL,2.0,INTERMEDIATE,27.0,39.0,13,7.0,0 days 00:02:02.727000,0 days 00:01:37.245000,103.7903076923077,6.0740447449868675,122.727,97.245,-25.482
HUL,3.0,SOFT,40.0,52.0,13,10.0,0 days 00:01:55.659000,0 days 00:01:30.847000,92.34853846153845,7.013707051379047,115.659,90.847,-24.812000000000012
LEC,1.0,MEDIUM,1.0,19.0,19,10.0,0 days 00:01:39.663000,0 days 00:01:45.868000,93.95473684210526,3.4199449125210117,99.663,105.868,6.204999999999998
LEC,2.0,INTERMEDIATE,20.0,27.0,8,4.5,0 days 00:02:00.269000,0 days 00:01:45.912000,108.33250000000001,5.567435598447202,120.269,105.912,-14.357
LEC,3.0,INTERMEDIATE,28.0,37.0,10,5.5,0 days 00:02:03.138000,0 days 00:01:38.357000,104.24680000000001,6.869806172261663,123.138,98.357,-24.781000000000006
LEC,4.0,SOFT,38.0,51.0,14,7.5,0 days 00:01:57.811000,0 days 00:01:31.674000,92.376,7.345942176571945,117.811,91.674,-26.137
MAG,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:43.681000,0 days 00:01:51.325000,95.305,4.769962030166559,103.681,111.325,7.6440000000000055
MAG,2.0,INTERMEDIATE,28.0,37.0,10,5.5,0 days 00:02:05.299000,0 days 00:01:42.038000,106.20250000000001,6.861556694932851,125.299,102.038,-23.26100000000001
MAG,3.0,SOFT,38.0,52.0,15,8.0,0 days 00:02:03.931000,0 days 00:01:31.982000,93.46346666666666,8.462674550777722,123.931,91.982,-31.948999999999998
NOR,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:37.347000,0 days 00:01:44.806000,93.6061111111111,3.6934788722134586,97.347,104.806,7.459000000000003
NOR,2.0,INTERMEDIATE,28.0,39.0,12,6.5,0 days 00:02:00.915000,0 days 00:01:36.746000,102.57650000000001,6.1051032230124,120.915,96.746,-24.16900000000001
NOR,3.0,SOFT,40.0,52.0,13,9.0,0 days 00:01:54.840000,0 days 00:01:30.913000,92.02484615384616,6.873010886141939,114.84,90.913,-23.927000000000007
OCO,1.0,SOFT,1.0,19.0,19,10.0,0 days 00:01:43.052000,0 days 00:01:41.731000,95.54226315789474,2.8987947656857793,103.052,101.731,-1.3210000000000122
OCO,2.0,INTERMEDIATE,20.0,21.0,2,1.5,0 days 00:02:01.025000,0 days 00:01:39.736000,110.38050000000001,15.053596264680417,121.025,99.736,-21.289
OCO,3.0,MEDIUM,22.0,26.0,5,3.0,0 days 00:01:55.208000,0 days 00:01:58.710000,106.9686,10.223908587228268,115.208,118.71,3.5019999999999953
OCO,4.0,INTERMEDIATE,27.0,38.0,12,6.5,0 days 00:02:02.736000,0 days 00:01:39.440000,104.62733333333334,5.967573838265557,122.736,99.44,-23.296000000000006
OCO,5.0,MEDIUM,39.0,50.0,12,6.5,0 days 00:02:00.130000,0 days 00:01:31.608000,94.27550000000001,8.283111520107973,120.13,91.608,-28.52199999999999
PER,1.0,HARD,1.0,19.0,19,10.0,0 days 00:01:49.458000,0 days 00:01:41.868000,94.37757894736842,4.263948174531166,109.458,101.868,-7.590000000000003
PER,2.0,INTERMEDIATE,20.0,28.0,9,5.0,0 days 00:01:59.150000,0 days 00:01:45.224000,108.20566666666667,5.170606806749086,119.15,105.224,-13.926000000000002
PER,3.0,INTERMEDIATE,29.0,37.0,9,5.0,0 days 00:02:04.385000,0 days 00:01:39.697000,105.09766666666667,7.476387112101669,124.385,99.697,-24.688000000000002
PER,4.0,MEDIUM,38.0,47.0,10,5.5,0 days 00:02:00.171000,0 days 00:01:30.795000,93.9586,9.27010932693533,120.171,90.795,-29.376000000000005
PER,5.0,SOFT,48.0,50.0,3,2.0,0 days 00:02:05.507000,0 days 00:01:29.707000,104.19133333333333,18.85232973224619,125.507,89.707,-35.80000000000001
PIA,1.0,MEDIUM,1.0,28.0,28,14.5,0 days 00:01:38.008000,0 days 00:01:52.976000,94.4959642857143,5.486784368132292,98.008,112.976,14.968000000000004
